RespondentID,CollectorID,StartDate,EndDate,IP Address,Email Address,First Name,LastName,Custom Data,"After reading the above, do you agree to proceed.","<span style=""text-decoration: underline;""><strong>Please click on the blue link (not the circle)</strong></span> that corresponds to the month in which you were born.  You will then be redirected to YouTube where you will view a short video.  <span style=""text-decoration: underline;"">When done please close the YouTube window to return to this survey and finish answering the remaining questions by clicking ""next""</span>.",,,How would you rate your overall emotional state at this time?,,,,,,,Please complete the following mathematical computations as quickly as you can.,,,,,"Please recall as many words as you can from the list of words you viewed on YouTube and type them in the comment box below.  Please separate your responses by hitting the enter key. Type ""None"" if you cannot remember any words or ""What Video"" if for any reason you were not redirected to YouTube.",Are you male or female?,,What is your age?,,,,,,,In what month were you born?,,,,,,,,,,,,Did you hear music playing?,
,,,,,,,,,I Agree,"<a href=""https://youtu.be/G_qI9UmGVOY"" rel=""nofollow"" target=""_blank"">January - April - July - October</a>","<a href=""https://www.youtube.com/watch?v=kL0z9-W3IVA"" rel=""nofollow"" target=""_blank"">February - May - August - November</a>","<a href=""https://www.youtube.com/watch?v=ZgJCu9_A72g"" rel=""nofollow"" target=""_blank"">March - June - September - December</a>",#NAME?,#NAME?,#NAME?,0 = Neutral,1 = Slightly Positive Mood,2 = Somewhat Positive Mood,3 = Extremely Positive Mood,8 + 6 =,32 - 7 =,9 x 4 =,20 divided by 5 =,"The American flag has 6 white stripes, 7 red stripes, and 50 stars. How many stars and stripes are there all together?",Open-Ended Response,Male,Female,18 to 24,25 to 34,35 to 44,45 to 54,55 to 64,65 to 74,75 or older,January,February,March,April,May,June,July,August,September,October,November,December,Yes,No
4709565995,84131241,5/6/2016 13:17,5/6/2016 13:22,,,,,,1,,,,,,,4,,,,14,25,32,4,63,Chair  Veil  Bottom  Office  tooth  ,,2,,2,,,,,,,,,,,,,,,,,12,1,
4706278467,84131241,5/5/2016 4:35,5/5/2016 4:42,,,,,,1,,,,,,,4,,,,14,25,36,4,63,Chair  Lamp  Tank  Leg  Bottom  Office  ,,2,,,3,,,,,,,3,,,,,,,,,,1,
4703339399,84131241,5/4/2016 4:25,5/4/2016 4:36,,,,,,1,,,,,,,,5,,,14,25,36,4,63,chair  legs  veil  bottom  ,,2,1,,,,,,,,,,,,,,8,,,,,1,
4700223617,84131241,5/3/2016 2:45,5/3/2016 2:55,,,,,,1,,,,,,,4,,,,14,25,36,4,63,wood  veil  tooth  legs  eye  will  office  ink   screen  ,,2,,,,4,,,,,,,4,,,,,,,,,,2
4698951722,84131241,5/2/2016 17:15,5/2/2016 17:23,,,,,,1,,,,,,,,5,,,14,25,26,4,63,veil  wheel  table  couch  window,1,,,,3,,,,,1,,,,,,,,,,,,,2
4697284419,84131241,5/1/2016 21:22,5/1/2016 21:27,,,,,,1,,,,,,,,5,,,14,25,36,4,63,chair  table  riders  eye,,2,1,,,,,,,,,3,,,,,,,,,,1,
4696599831,84131241,5/1/2016 5:12,5/1/2016 5:19,,,,,,1,,,,,,,,,6,,14,25,36,4,63,chair  desk  lamp  table  candle  door  eye  tooth  frame,,2,,2,,,,,,,,,,5,,,,,,,,1,
4694777793,84131241,4/29/2016 21:09,4/29/2016 21:12,,,,,,1,,2,,,,,,,,7,14,25,36,4,63,none,,2,1,,,,,,,,,,,,,,8,,,,,1,
4693355890,84131241,4/29/2016 13:27,4/29/2016 13:32,,,,,,1,,,,,,,,,6,,14,25,36,4,57,chair  door  touch  bottom  up,1,,,,3,,,,,,,,,5,,,,,,,,1,
